	school_name	City	State	highschool_gpa	sat_avg	Region	starting_meadian_salary	mid_career_median_salary	mid_career_10th_percentile_salary	mid_career_25th_percentile_salary	mid_career_75th_percentile_salary	mid_career_90th_percentile_salary
56	Kent State University	Kent	OH	3.4	950.0	Midwestern	38700.0	62600.0	36100.0	45800.0	87000.0	124000.0
57	Suffolk University	Boston	MA	3.2	910.0	Northeastern	42100.0	74000.0	48700.0	57800.0	95100.0	145000.0
58	Pace University	New York	NY	3.3	940.0	Northeastern	53200.0	89700.0	44200.0	65400.0	129000.0	187000.0
59	University of North Dakota	Grand Forks	ND	3.4	960.0	Midwestern	44000.0	80600.0	43400.0	56400.0	111000.0	157000.0
60	Widener University	Chester	PA	3.5	930.0	Northeastern	52900.0	83400.0	42600.0	61400.0	106000.0	138000.0
61	New Mexico State University	Las Cruces	NM	3.5	820.0	Western	44300.0	79500.0	37400.0	53800.0	102000.0	131000.0
62	Bowling Green State University	Bowling Green	OH	3.4	920.0	Midwestern	39800.0	72100.0	38200.0	51800.0	101000.0	146000.0
63	Dallas Baptist University	Dallas	TX	3.7	1030.0	Southern	39400.0	60200.0	38500.0	50300.0	81800.0	98100.0
64	University of Montana	Missoula	MT	3.3	950.0	Western	37300.0	71900.0	37000.0	51500.0	96400.0	138000.0
65	Utah State University	Logan	UT	3.5	980.0	Western	43800.0	78700.0	41600.0	55400.0	101000.0	132000.0
66	Georgia State University	Atlanta	GA	3.4	950.0	Southern	41800.0	74000.0	43000.0	55300.0	99900.0	145000.0
67	Wayne State University	Detroit	MI	3.4	983.0	Midwestern	42800.0	76100.0	40100.0	56200.0	101000.0	139000.0
68	Cleveland State University	Cleveland	OH	3.3	890.0	Midwestern	43500.0	73100.0	39500.0	51600.0	97000.0	137000.0
69	Eastern Michigan University	Ypsilanti	MI	3.3	910.0	Midwestern	40300.0	72100.0	37900.0	52800.0	95400.0	135000.0
70	Lamar University	Beaumont	TX	3.2	860.0	Southern	46500.0	79400.0	38700.0	51600.0	114000.0	158000.0
71	Tennessee Technological University	Cookeville	TN	3.6	960.0	Southern	46200.0	80000.0	42100.0	62600.0	99500.0	121000.0
72	University of Akron	Akron	OH	3.3	910.0	Midwestern	41100.0	70300.0	40600.0	53300.0	95200.0	127000.0
73	University of Toledo	Toledo	OH	3.4	920.0	Midwestern	43100.0	75900.0	40100.0	54100.0	100000.0	133000.0
74	Idaho State University	Pocatello	ID	3.6		Western	44900.0	73400.0	35400.0	49600.0	101000.0	143000.0
